LOC_Os03g41060.1	8-79
LOC_Os08g16780.2	280-498
LOC_Os06g04195.1	197-286
LOC_Os06g04195.1	45-392
LOC_Os05g35010.1	27-50
LOC_Os05g35010.1	35-55
LOC_Os03g11370.1	74-94
LOC_Os03g11370.1	139-171
LOC_Os01g04720.1	111-155
LOC_Os01g04720.1	137-223
LOC_Os01g04720.1	262-297
LOC_Os01g04720.1	225-320
LOC_Os01g04720.1	327-362
LOC_Os01g04720.1	359-382
LOC_Os01g04720.1	569-670
LOC_Os01g03690.1	30-47
LOC_Os01g03690.1	65-106
LOC_Os01g03690.1	119-202
LOC_Os01g03690.1	371-427
LOC_Os01g03690.1	52-462
LOC_Os01g03690.1	475-525
LOC_Os01g03690.1	437-565
LOC_Os01g03690.1	630-668
LOC_Os01g03690.1	583-675
LOC_Os01g03690.1	672-719
LOC_Os01g03690.1	682-732
LOC_Os01g03690.1	590-751
LOC_Os01g03690.1	768-815
LOC_Os01g03690.1	797-880
LOC_Os01g03690.1	881-988
LOC_Os01g03690.1	1056-1136
LOC_Os01g03690.1	1085-1186
LOC_Os01g03690.1	1161-1193
LOC_Os01g03690.1	1194-1214
LOC_Os01g03690.1	1205-1225
LOC_Os01g03690.1	841-1239
LOC_Os01g03690.1	1242-1274
LOC_Os01g03690.1	1282-1302
LOC_Os01g03690.1	1250-1372
LOC_Os01g03690.1	1341-1424
LOC_Os01g03690.1	1437-1484
LOC_Os01g03690.1	1565-1642
LOC_Os01g03690.1	1459-1692
LOC_Os01g03690.1	1735-1767
LOC_Os01g03690.1	1661-1804
LOC_Os01g03690.1	1789-1809
LOC_Os01g03690.1	1852-1887
LOC_Os01g03690.1	1910-1948
LOC_Os01g03690.1	1731-1952
LOC_Os01g03690.1	1955-2077
LOC_Os01g03690.1	2082-2111
LOC_Os01g03690.1	2108-2143
LOC_Os01g03690.1	2170-2196
LOC_Os01g03690.1	2200-2217
LOC_Os01g03690.1	2175-2456
LOC_Os01g03690.1	2493-2528
LOC_Os01g04720.2	111-155
LOC_Os01g04720.2	137-223
LOC_Os01g04720.2	262-297
LOC_Os01g04720.2	225-320
LOC_Os01g04720.2	327-362
LOC_Os01g04720.2	359-382
LOC_Os01g04720.2	569-670
LOC_Os05g43760.1	2-31
LOC_Os05g43760.1	18-80
LOC_Os05g43760.1	81-176
LOC_Os05g43760.1	106-180
LOC_Os05g43760.1	177-200
LOC_Os05g43760.1	193-222
LOC_Os05g43760.1	209-226
LOC_Os05g43760.1	272-289
LOC_Os08g11450.1	9-26
LOC_Os08g11450.2	9-26
LOC_Os06g04800.1	62-94
LOC_Os12g37570.1	49-87
LOC_Os12g37570.1	87-113
LOC_Os01g36720.1	41-73
LOC_Os06g03770.1	129-191
LOC_Os12g37570.2	49-87
LOC_Os12g37570.2	87-113
LOC_Os08g43450.1	15-77
LOC_Os08g43450.1	56-85
LOC_Os06g36800.1	3-107
LOC_Os05g36290.1	8-196
LOC_Os05g36290.2	8-196
LOC_Os01g68720.1	12-83
LOC_Os01g68720.1	56-94
LOC_Os09g15389.1	60-107
LOC_Os09g15389.1	13-186
LOC_Os09g15389.1	183-257
LOC_Os09g15389.1	2-328
LOC_Os09g15389.1	340-393
LOC_Os09g15389.1	332-412
LOC_Os09g15389.1	405-458
LOC_Os09g15389.1	434-481
LOC_Os09g15389.1	507-527
LOC_Os09g15389.1	497-568
LOC_Os09g15389.1	600-617
LOC_Os09g15389.1	478-651
LOC_Os09g15389.1	652-714
